id,farm_id,date,category,description,amount,receipt_url,created_at,updated_at,vendor
916ad888-da65-4706-8e40-b2f8950a1ac9,5f7e9d0f-e91b-4a78-92f9-37505fa5aa3d,2024-09-30,Equipment,Equipment,427.0,,2026-04-13T01:52:38.645748+00:00,2026-04-13T01:52:38.645748+00:00,Home Depot
63313d51-0db1-4d38-9c06-fcad2d51dd48,5f7e9d0f-e91b-4a78-92f9-37505fa5aa3d,2024-10-01,Seeds,Seeds,70.0,,2026-04-13T01:52:38.708709+00:00,2026-04-13T01:52:38.708709+00:00,Bakers Creek Seeds
447d732b-e79f-4ff9-b79d-d578c6c093dd,5f7e9d0f-e91b-4a78-92f9-37505fa5aa3d,2024-10-07,Equipment,Watering Timers,145.0,,2026-04-13T01:52:38.776241+00:00,2026-04-13T01:52:38.776241+00:00,Amazon
e26e893f-5f61-4ffa-b92e-c3f459391b4b,5f7e9d0f-e91b-4a78-92f9-37505fa5aa3d,2024-10-10,Seeds,Early 2024 Seeds,137.48,,2026-04-13T01:52:38.849339+00:00,2026-04-13T01:52:38.849339+00:00,Johnny's Seeds
fc1735e7-3468-469e-8308-8224d9dcd9e7,5f7e9d0f-e91b-4a78-92f9-37505fa5aa3d,2024-10-12,Soil,Compost,300.0,,2026-04-13T01:52:38.924949+00:00,2026-04-13T01:52:38.924949+00:00,Napa Waste & Recycling
129452f9-65f5-4fd2-868a-825600fbf683,5f7e9d0f-e91b-4a78-92f9-37505fa5aa3d,2024-10-13,Equipment,Gopher Traps,42.26,,2026-04-13T01:52:38.997863+00:00,2026-04-13T01:52:38.997863+00:00,Amazon
efcfec6e-d638-47b3-b30b-0aaac6ec38d5,5f7e9d0f-e91b-4a78-92f9-37505fa5aa3d,2024-11-19,Equipment,Equipment,223.48,,2026-04-13T01:52:39.073252+00:00,2026-04-13T01:52:39.073252+00:00,Amazon
5b659435-eb5c-4435-a4bc-fc03aa64776e,5f7e9d0f-e91b-4a78-92f9-37505fa5aa3d,2024-11-19,Equipment,Irrigation Equipment,387.7,,2026-04-13T01:52:39.169038+00:00,2026-04-13T01:52:39.169038+00:00,Drip Depot
b26a7890-52c7-4d49-9a55-dfaaa8696658,5f7e9d0f-e91b-4a78-92f9-37505fa5aa3d,2024-12-03,Seeds,Spring seeds,171.49,,2026-04-13T01:52:39.242674+00:00,2026-04-13T01:52:39.242674+00:00,Johnny's Seeds
50195f04-ff4c-4da1-926d-7c31587bbf8f,5f7e9d0f-e91b-4a78-92f9-37505fa5aa3d,2024-12-18,Equipment,Irrigation Equipment,196.48,,2026-04-13T01:52:39.311769+00:00,2026-04-13T01:52:39.311769+00:00,Drip Depot
65601827-7ee9-49f1-98f0-89e98fe78759,5f7e9d0f-e91b-4a78-92f9-37505fa5aa3d,2024-12-18,Seeds,Spring seeds,232.74,,2026-04-13T01:52:39.397718+00:00,2026-04-13T01:52:39.397718+00:00,True Leaf Market
04afe1ce-208b-4c15-8e0f-c91534598468,5f7e9d0f-e91b-4a78-92f9-37505fa5aa3d,2024-12-18,Seeds,Spring seeds,204.18,,2026-04-13T01:52:39.478613+00:00,2026-04-13T01:52:39.478613+00:00,Bakers Creek Seeds
ed3d5d9c-2c93-4974-a78d-865ee181ad7f,5f7e9d0f-e91b-4a78-92f9-37505fa5aa3d,2026-02-28,Equipment,Green house lights,581.68,,2026-04-13T06:20:44.08352+00:00,2026-04-13T06:24:05.965142+00:00,Amazon
bf4a001e-e4ec-4110-80f0-f1a17cf514c4,5f7e9d0f-e91b-4a78-92f9-37505fa5aa3d,2025-08-01,Equipment,Honey Extractor,409.44,,2026-04-13T06:02:13.881398+00:00,2026-04-24T18:26:56.384958+00:00,Mann Lake
