Nasturtium, Flower	LG	15.00
Nasturtium, Leaf	EA	0.35
Nectarines	LBS	6.00
New Potatoes	LBS	5.00
New Zealand Spinach	LG	15.00
Oat, Greens	LG	12.00
Okra	LG	20.00
Olive, Branches	BX	20.00
Olives, Green	LBS	4.00
Orange Bergamot	LG	20.00
Oregano	LG	10.00
Oregano, Flowering	LG	10.00
Oxalis / Lucky Sorrel	SM	6.00
Papalo	LG	10.00
Passion Fruit, Branches	LG	12.00
Passionfruit	LBS	4.00
Pea, Flowers	LG	12.00
Pea, Tendrils, Calvin	LG	12.00
Pea, Tendrils, Frilley	LG	12.00
Peach, Flowers	LG	30.00
Peaches	LBS	5.00
Peanut Leaf (50 ct)	LG	15.00
Pears	LBS	1.25
Pepper, Corbachi	LBS	5.00
Peppercorn Leaf	LG	12.00
Peppercress	LG	20.00
Peppers	LBS	10.00
Peppers, Shishito	LBS	12.00
Persimmon	EA	3.75
Plums	LBS	5.00
Poppy, Flower	LG	12.00
Pumpkin	LBS	4.00
Purple Stardust (50 ct)	EA	15.00
Purslane Tips (50 ct)	EA	15.00
Quince	EA	6.40
Radish, Breakfast	LG	25.00
Radish, Flower	SM	10.00
Radish, Misc	LG	25.00
Radish, Rat Tail	LG	25.00
Rangpor Lime	LBS	4.00
Rangpor Limes	EA	1.00
Raspberries, Golden Ripe	LG	24.00
Raspberries, Green	LG	24.00
Red Mizuna	LG	24.00
Red Vein Sorrel	LG	30.00
Red Wood Foliage	LG	12.00
Rhubarb, Green (Ideal for juicing)	LBS	7.00
Rose Geranium	LG	16.00
Rose Geranium, Flower	LG	16.00
Rosemary	EA	0.20
Rosemary, Flowering	LG	12.00
Rubarb, Green	LBS	7.00
Sage, Baby, Blue	LG	12.00
Sage, Baby, Pink	LG	12.00
Sage, Golden Pineapple	LG	12.00
Salad Burnett	LG	15.00
Salad Mix - Large Leaf	LG	12.00
Salad Mix - Small Leaf	LG	15.00
Salt Bush	LG	15.00
Salt Bush Tips (50 ct)	LG	15.00
Samples, Misc	LG	12.00
Sharp-leaved Fluellen	LG	12.00
Shiso, Green	LG	15.00
Shiso, Micro	SM	12.00
Shiso, Purple	LG	15.00
Society Garlic	LG	20.00
Sorrel, Greenleaf	SM	6.00
Sorrel. Red Veined	SM	6.00
Sorrels - Butterfly	LG	20.00
Sorrels - mixed colors	SM	15.00
Spicebush	LG	10.00
Spicebush Leaf - Hand Size	LG	12.00
Spring Garlic	EA	0.50
Spring Onion	LG	25.00
Squash Leaf (1-1.5 in)	LG	15.00
Squash Tendril (50 ct)	LG	15.00
Squash Tip (25 ct)	LG	12.00
Squash, Blossoms	BX	48.00
Squash, Crudite Thumbnail to Quarter	LG	20.00
Squash, Green Acorn	EA	1.00
Squash, Leaves	LG	15.00
Squash, Misc	LBS	4.00
Squash, Patty Pan - Silver Dollar	LG	25.00
Squash, Patty Pan Yellow and Green	LBS	4.00
Squash, Sweet Dumpling	EA	8.00
Squash, Tiny	LG	25.00
Squash, Yellow & Green Zucchini	LBS	4.00
Squash, Yellow/Green	LBS	4.00
Strawberries Ripe, Mara des Bois	LG	24.00
Strawberries, Green	LG	6.00
Sunflower	EA	1.00
Sunflower, Sprouts	LG	25.00
Sunflowers	EA	1.00
Sweet Bay	LG	10.00
Sweet Clover (50 ct)	LG	12.00
Tarragon	LG	12.00
Thyme, Flowering	LG	12.00
Tomatillo, Amarylla (Yellow)	LG	5.00
Tomatillo, Med/Large	LBS	4.99
Tomatillo, Small	LBS	4.99
Tomato, Cherry	LBS	6.00
Tomato, Green, Large	LBS	4.50
Tomato, Green, Medium	LBS	4.50
Tomato, Green, Small	LBS	4.50
Tomato, Red, Large	LBS	4.50
Tomato, Red, Medium	LBS	4.50
Tomato, Red, Small	LBS	4.50
Tomatoes, Cherry (Mixed)	LG	10.00
Tomatoes, Currant	LG	20.00
Tomatoes, Green (Cherries)	LG	10.00
Tomatoes, Green (Small Heirloom Mix)	LBS	4.50
Tomatoes, Large Heirloom Mix	LBS	4.50
Tomatoes, Small Heirloom Mix	LBS	4.50
Tomatoes, Sungold	LG	10.00
Tri Point Leek	LG	15.00
Tri-Point leek, Flowers	LG	15.00
Turnip, Goldball	LG	25.00
Turnip, Hurkari	LG	25.00
Turnip, Leaves	LBS	6.00
Verbena, Lemon	LG	15.00
Viola (larger - mixed)	LG	15.00
Viola (smaller - purple)	LG	10.00
Wormwood	LG	40.00
Yarrow, Flower	LG	15.00
Yarrow, Leaf	LG	15.00
Yuzu	EA	4.95
Zinnas	LG	15.00
